familia,modo_color,formato,tipo_papel,papel,gramaje,cantidad_rango,caras,precio_pdf_objetivo_sin_iva,fuente_pdf_pagina
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 200g,200g,2 a 25,4/0,828.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 200g,200g,2 a 25,4/4,1171.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,PENDIENTE_REVISION_MANUAL,PENDIENTE_REVISION_MANUAL,2 a 25,4/0,759.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,PENDIENTE_REVISION_MANUAL,PENDIENTE_REVISION_MANUAL,2 a 25,4/4,1102.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 350g,350g,26 a 50,4/0,823.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 350g,350g,26 a 50,4/4,1146.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 300g,300g,26 a 50,4/0,822.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 300g,300g,26 a 50,4/4,1146.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 200g,200g,26 a 50,4/0,782.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 200g,200g,26 a 50,4/4,1106.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,PENDIENTE_REVISION_MANUAL,PENDIENTE_REVISION_MANUAL,26 a 50,4/0,717.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,PENDIENTE_REVISION_MANUAL,PENDIENTE_REVISION_MANUAL,26 a 50,4/4,1041.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 350g,350g,51 a 100,4/0,774.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 350g,350g,51 a 100,4/4,1079.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 300g,300g,51 a 100,4/0,774.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 300g,300g,51 a 100,4/4,1078.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 200g,200g,51 a 100,4/0,736.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 200g,200g,51 a 100,4/4,1041.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,PENDIENTE_REVISION_MANUAL,PENDIENTE_REVISION_MANUAL,51 a 100,4/0,675.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,PENDIENTE_REVISION_MANUAL,PENDIENTE_REVISION_MANUAL,51 a 100,4/4,980.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 350g,350g,101 a 300,4/0,726.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 350g,350g,101 a 300,4/4,1012.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 300g,300g,101 a 300,4/0,725.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 300g,300g,101 a 300,4/4,1011.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 200g,200g,101 a 300,4/0,690.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 200g,200g,101 a 300,4/4,976.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,PENDIENTE_REVISION_MANUAL,PENDIENTE_REVISION_MANUAL,101 a 300,4/0,633.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,PENDIENTE_REVISION_MANUAL,PENDIENTE_REVISION_MANUAL,101 a 300,4/4,919.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 350g,350g,301 a 500,4/0,677.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 350g,350g,301 a 500,4/4,944.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 300g,300g,301 a 500,4/0,677.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 300g,300g,301 a 500,4/4,944.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 200g,200g,301 a 500,4/0,644.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 200g,200g,301 a 500,4/4,910.0,4
